::1 - - [07/May/2021:01:27:22 +0000] "GET /public/images/avatar/160283218164589c2961f4a63cb6156b7af1c2cc372bf.jpg HTTP/1.1" 304 - "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::1 - - [07/May/2021:01:27:24 +0000] "GET /public/images/avatar/160283218164589c2961f4a63cb6156b7af1c2cc372bf.jpg HTTP/1.1" 304 - "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:43:24 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:43:25 +0000] "POST /upload?type=1 HTTP/1.1" 200 52 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::1 - - [07/May/2021:01:44:49 +0000] "GET /public/images/avatar/160283218164589c2961f4a63cb6156b7af1c2cc372bf.jpg HTTP/1.1" 304 - "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:44:53 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:44:54 +0000] "POST /upload?type=1 HTTP/1.1" 200 52 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::1 - - [07/May/2021:01:46:21 +0000] "GET /public/images/avatar/160283218164589c2961f4a63cb6156b7af1c2cc372bf.jpg HTTP/1.1" 304 - "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "OPTIONS /upload?type=1 HTTP/1.1" 204 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "POST /upload?type=1 HTTP/1.1" 200 52 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:53:53 +0000] "POST /upload?type=1 HTTP/1.1" 200 52 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:01:54:00 +0000] "POST /upload?type=1 HTTP/1.1" 200 52 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36"
